id,genres
862,Animation Comedy Family
8844,Adventure Fantasy Family
949,Action Crime Drama Thriller
710,Adventure Action Thriller
1408,Action Adventure
524,Drama Crime
4584,Drama Romance
8012,Comedy Thriller Crime
1710,Drama Thriller
451,Drama Romance
902,Fantasy Science Fiction Adventure
63,Science Fiction Thriller Mystery
687,Drama
139405,Adventure History Drama Family
577,Fantasy Drama Comedy Thriller
807,Crime Mystery Thriller
8391,Drama Romance
629,Drama Crime Thriller
2054,Music Drama Family
4482,Comedy Romance
755,Horror Action Thriller Crime
27526,Drama Thriller
400,Drama Crime
880,Drama Comedy
8447,Drama Romance
2086,Crime Drama Thriller
406,Drama
2045,Drama Mystery Science Fiction Thriller
688,Drama Romance
197,Action Drama History War
2074,Comedy Romance
27793,Fantasy
5757,Comedy
124639,
568,Drama
414,Action Crime Fantasy
1873,Drama Thriller
5894,Comedy
8839,Fantasy Comedy Family
8963,Action Thriller Drama
26564,Documentary
8068,Thriller Action Crime
8512,Drama Mystery Thriller
1572,Action Thriller
6520,Action Adventure Drama Romance
8973,Mystery Horror Thriller
2293,Romance Comedy
1642,Crime Drama Mystery Thriller Action
32646,Drama
281,Crime Drama Science Fiction Thriller
3512,Action Thriller
65796,Action Western
26258,Adventure Action Comedy Crime Family
76,Drama Romance
6715,Drama Family
2292,Comedy
1909,Romance Drama Comedy
8984,Drama Thriller Crime Mystery Romance
4954,Action Adventure Thriller
522,Comedy Drama History
397,Comedy Romance
1024,Drama Fantasy
628,Horror Romance
6280,Comedy Family Romance
6071,Action Crime Drama Thriller
4476,Adventure Drama Romance War
32325,Crime Drama
3036,Drama Horror Science Fiction Romance
8986,Comedy Romance
1945,Drama Thriller
241,Crime Thriller Drama
527,Drama
6950,Action Drama Science Fiction Thriller
101,Thriller Crime Drama
2307,Comedy Drama Romance
680,Thriller Crime
3586,Drama Comedy
110,Drama Mystery Romance
108,Drama Music Mystery
109,Comedy Drama Mystery
159185,Drama
2636,Action Thriller
2164,Action Adventure Science Fiction
278,Drama Crime
193,Science Fiction Action Adventure Thriller
95963,Drama War
1587,Romance Drama
2064,Comedy Drama Romance
236,Drama Comedy Romance
3049,Comedy Mystery
2759,Drama Comedy
888,Fantasy Comedy Family
13,Comedy Drama Romance
712,Comedy Drama Romance
8587,Family Animation Drama
1689,Drama History
854,Romance Comedy Crime Fantasy
2788,Drama
8987,Action Adventure Crime Thriller
8831,Thriller Science Fiction Action Crime
8011,Action Fantasy Science Fiction
171857,
2654,Horror Mystery Thriller
2758,Comedy Family Fantasy
306,Action Comedy Crime
26203,Mystery Crime Drama Thriller
178,Drama Action Thriller
4722,Horror Science Fiction Thriller
26391,Comedy
117553,Drama Comedy
6075,Action Crime Drama Thriller
2124,Drama Mystery Romance Thriller
49299,Drama
26141,Comedy
5503,Adventure Action Thriller Crime Mystery
2087,Drama Action Thriller
4916,Drama Thriller
2019,Action Adventure Crime Thriller
26271,Comedy
2259,Romance Drama
7984,Drama
329,Adventure Science Fiction
507,Action Crime Drama Thriller
1413,Drama Romance
2246,Drama Crime
2320,Action Adventure Drama Thriller
2625,Drama Romance
788,Comedy Drama Family
713,Drama Romance
8291,Drama Romance
1245,Drama Romance
7007,Action Drama Thriller
5550,Action Adventure Crime Science Fiction Thriller
2088,Action Crime Drama Thriller
424,Drama History War
103413,Drama
8850,Adventure Fantasy Action Thriller Science Fiction
695,Comedy Drama
858,Comedy Drama Romance
867,Drama Thriller
78,Science Fiction Drama Thriller
319,Action Thriller Crime Romance
32562,History Documentary
124304,Romance Drama
771,Comedy Family
251,Fantasy Drama Thriller Mystery Romance
812,Animation Family Comedy Adventure Fantasy Romance
280,Action Thriller Science Fiction
581,Adventure Drama Western
80350,Thriller Action Drama
268,Fantasy Action
274,Crime Drama Thriller
114,Romance Comedy
124472,
7300,Comedy Romance
275,Crime Drama Thriller
8766,Horror Thriller Science Fiction
4307,Drama Romance
1592,Crime Drama Mystery Thriller
38884,Drama History War Romance
2021,Comedy Drama Romance
954,Adventure Action Thriller
8840,Fantasy
124625,Drama
161070,Romance Comedy Drama
3065,Comedy Science Fiction
2300,Animation Comedy Drama Family Fantasy
27768,Drama Thriller
33245,Drama
38867,Drama Romance
8866,Comedy Romance
922,Drama Fantasy Western
73183,Documentary
664,Action Adventure Drama
532,Family Animation Comedy
7095,Comedy Drama Science Fiction
124633,Drama
627,Drama Crime
602,Action Adventure Science Fiction
81949,Drama Romance War
124306,
1645,Crime Drama Thriller
34170,Family Comedy
124645,War Drama
151489,War Drama
2925,Comedy
3595,Action Thriller
3573,Drama Comedy Romance
124619,Drama
144982,Drama
47907,Comedy Drama
549,Drama History
145925,
159,Comedy Drama
88224,Drama Comedy
58770,Drama Thriller
124851,
3587,Fantasy Comedy Family
26933,Drama Romance
125587,Drama
890,Drama
1770,Drama Thriller
2033,Drama Romance
161806,
6346,Crime Drama
6878,Adventure Comedy Drama Family
864,Comedy
8367,Adventure
562,Action Thriller
454,Drama Romance
819,Crime Drama Thriller
623,Comedy Crime
88,Drama Music Romance
500,Crime Thriller
792,Drama War Action
8491,Comedy
402,Thriller Mystery
601,Science Fiction Adventure Family Fantasy
67365,Comedy
2119,Adventure
744,Action Romance War
136311,Action Comedy
25750,Horror
102461,Drama
1630,Drama
124837,Documentary
2756,Adventure Action Thriller Science Fiction
1103,Science Fiction Action
4480,Drama
4481,Drama
49688,Drama
124829,Documentary
531,Animation Comedy Family
4483,Mystery Crime Drama History Romance
7452,Crime Drama
892,Comedy Science Fiction Fantasy
1600,Drama Thriller
26561,Romance Drama
409,Drama Romance War
1412,Drama
2469,Comedy Crime Drama Romance
31225,Documentary
2493,Adventure Family Fantasy Comedy Romance
85,Adventure Action
68,Comedy Science Fiction
679,Horror Action Thriller Science Fiction
1892,Adventure Action Science Fiction
144,Drama Fantasy Romance
769,Drama Crime
766,Fantasy Horror Comedy
175,Adventure Drama Romance
600,Drama War
530,Adventure Animation Comedy Science Fiction Family
279,Drama History Music
311,Drama Crime
387,Action Drama History War Adventure
218,Action Thriller Science Fiction
763,Horror Comedy
379,Drama Thriller Crime
207,Drama
235,Crime Drama
765,Horror Comedy Fantasy
4485,Action Drama Music Thriller
137,Romance Fantasy Drama Comedy
33,Western
105,Adventure Comedy Science Fiction Family
